Date,Closing,Opening,High,Low,Volume,Diff %
26.12.2021,4061.27,4093.38,4104.23,4005.38,283580.00,-0.78000
25.12.2021,4093.14,4043.6,4136.03,4024.87,308530.00,1.23000
24.12.2021,4043.39,4110.2,4133.77,4024.24,353850.00,-1.62000
23.12.2021,4110.14,3979.57,4149.17,3895.89,573180.00,3.28000
22.12.2021,3979.54,4016.25,4072.4,3944.15,426430.00,-0.92000
21.12.2021,4016.59,3944.03,4058.76,3915.56,496710.00,1.98000
20.12.2021,3938.8,3925.46,3978.66,3757.42,531110.00,0.34000
19.12.2021,3925.34,3959.9,4025.36,3890.9,442490.00,-0.87000
18.12.2021,3959.83,3878.2,3993.05,3769.91,475860.00,2.1000
17.12.2021,3878.29,3957.12,3993.87,3702.33,654900.00,-1.98000
16.12.2021,3956.62,4019.57,4108.24,3955.46,512120.00,-1.56000
15.12.2021,4019.24,3860.51,4090.15,3649.69,821220.00,4.08000
14.12.2021,3861.55,3782.12,3879.43,3690.06,577610.00,2.11000
13.12.2021,3781.94,4131.47,4141.27,3673.19,891670.00,-8.47000
12.12.2021,4131.78,4078.17,4173.21,3988.29,360450.00,1.38000
11.12.2021,4075.66,3903.52,4094.92,3836.92,581260.00,4.41000
10.12.2021,3903.48,4107.2,4226.79,3894.03,798120.00,-4.97000
09.12.2021,4107.69,4435.74,4482.89,4078.14,642170.00,-7.4000
08.12.2021,4435.74,4307.08,4449.69,4229.63,574330.00,2.99000
07.12.2021,4307.08,4351.36,4424.2,4259.45,550780.00,-1.06000
06.12.2021,4353.31,4194.95,4373.23,3922.65,993790.00,3.78000
05.12.2021,4194.8,4118.27,4247.38,4036,707690.00,1.73000
04.12.2021,4123.46,4219.3,4237.56,3533.02,1520000.00,-2.27000
03.12.2021,4219.3,4512.9,4646.73,4047.07,942770.00,-6.51000
02.12.2021,4512.9,4583.28,4629.75,4437.53,608070.00,-1.54000
01.12.2021,4583.28,4628.72,4778.14,4525.33,669180.00,-0.99000
30.11.2021,4628.9,4443.22,4749.12,4349.21,973460.00,4.18000
29.11.2021,4443.22,4296.98,4456.82,4280.18,532660.00,03.апр
28.11.2021,4296.98,4095.16,4297.63,3980.24,487530.00,4.94000
27.11.2021,4094.8,4037.06,4183.02,4029.06,370730.00,1.49000
26.11.2021,4034.53,4520.3,4548.1,3917.43,1000000.00,-10.75000
25.11.2021,4520.3,4270.73,4549.74,4248.9,578650.00,5.77000
24.11.2021,4273.54,4340.23,4372.83,4172.19,595960.00,-1.54000
23.11.2021,4340.23,4086.73,4384.75,4064.17,684350.00,06.фев
22.11.2021,4086.95,4268.07,4311.46,4026.75,717080.00,-4.24000
21.11.2021,4268.08,4409.02,4422.6,4246.2,446230.00,-3.19000
20.11.2021,4408.85,4295.27,4434.27,4206.75,462990.00,2.64000
19.11.2021,4295.43,3996.29,4305.41,3978.08,571960.00,7.34000
18.11.2021,4001.87,4290.31,4342.74,3958.44,792380.00,-6.74000
17.11.2021,4290.88,4208.29,4298.3,4071.01,664940.00,1.97000
16.11.2021,4208.16,4562.97,4562.97,4115.31,1120000.00,-7.78000
15.11.2021,4562.98,4625.71,4769.38,4543.47,495960.00,-1.35000
14.11.2021,4625.59,4644.4,4692.76,4514.95,340960.00,-0.41000
13.11.2021,4644.61,4665.76,4705.02,4585.37,290270.00,-0.49000
12.11.2021,4667.31,4720.5,4807.16,4511.96,634590.00,-1.13000
11.11.2021,4720.87,4633.98,4778.17,4578.66,418610.00,1.87000
10.11.2021,4634.03,4731.83,4864.06,4498.78,761900.00,-2.07000
09.11.2021,4731.83,4808.34,4836.69,4715.43,437410.00,-1.59000
08.11.2021,4808.38,4612.05,4822.97,4612.05,673210.00,4.26000
07.11.2021,4612.06,4517.27,4634.39,4502.7,337810.00,2.1000
06.11.2021,4517.36,4475,4526.75,4330.29,442600.00,0.95000
05.11.2021,4475,4534.96,4569.31,4439.67,409750.00,-1.33000
04.11.2021,4535.11,4601.93,4604.83,4421.87,495860.00,-1.46000
03.11.2021,4602.21,4586.96,4661.88,4458.87,634680.00,0.35000
